id,first_name,last_name,gender,height,weight,zombies_killed,years_of_education,major,age
31,Robin,Adams,Female,64.43709372,134.9451017,1,1,military strategy,19.71057409
32,Jeremy,Banks,Male,70.99725682,158.8277463,1,0,culinart services,20.34347283
33,Patrick,Price,Male,70.08846614,168.2875514,3,2,logistics,18.67233172
34,Lawrence,Richards,Male,71.14842121,167.4055502,2,2,city planning,19.55996971
35,Emily,Shaw,Female,64.6984557,143.5878475,5,4,integrated water resources management,18.13683968
36,Walter,Carpenter,Male,70.90142752,142.7319573,3,2,physical education,23.98010735
37,Jessica,Marshall,Female,67.17554591,149.5385958,8,4,applied sciences,18.74853553
38,Tina,Wood,Female,67.53278145,147.9505143,1,3,mechanical engineering,19.53526096
39,William,Wood,Male,69.31778301,150.3724239,3,3,botany,22.46560796
40,Jose,Oliver,Male,69.89446752,167.4861733,8,6,botany,20.40242175
41,Maria,Hughes,Female,66.14535969,149.3008239,7,3,biology,20.78455348
42,Scott,Tucker,Male,68.93246091,144.9633252,7,4,medicine/nursing,21.29583475
43,Douglas,Smith,Male,74.23468395,200.7251851,7,2,biology,18.78722311
44,Shawn,Harris,Male,66.90533723,132.5518457,1,3,pharmacology,19.62350635
45,Christina,Clark,Female,66.88320017,124.5944479,3,1,philosophy,20.91053432
46,Maria,Hudson,Female,65.80216732,139.4153743,2,3,criminal justice administration,18.84753944
47,Roy,Hall,Male,66.14164462,142.9367675,7,1,mechanical engineering,18.50064909
48,Carol,Oliver,Female,64.30927621,143.920036,2,1,energy studies,16.55923895
49,Heather,Gordon,Female,63.5324944,135.5065719,2,7,agricultural sciences,17.98519512
50,Judith,Lopez,Female,62.32461772,120.7890114,6,2,psychology,20.29619354
51,George,Pierce,Male,67.97951696,151.0887225,6,2,logistics,20.11017275
52,Andrea,Cole,Female,60.66650714,103.6430882,2,0,philosophy,21.27615553
53,Angela,Brooks,Female,64.1581746,127.1100052,1,3,animal husbandry,15.77083303
54,Marie,Butler,Female,62.42482512,140.5250326,1,0,medicine/nursing,18.29769735
55,Bobby,Reyes,Male,71.75389885,158.995503,3,4,agricultural sciences,21.85694923
56,Theresa,Payne,Female,68.30398208,154.1627451,7,3,criminal justice administration,20.93828122
57,Ruth,Perry,Female,62.12425363,120.6141241,3,4,integrated water resources management,21.14684924
58,Jacqueline,Greene,Female,65.29115136,127.045852,5,2,communication,20.24615062
59,Rebecca,Price,Female,69.04027455,159.6950525,6,6,education,21.72433113
60,Douglas,Murray,Male,70.39867189,144.2862248,3,1,environmental science,23.30563014
61,Heather,Reed,Female,68.16987519,148.7525141,4,2,city planning,22.02547794
62,Jason,Bowman,Male,67.60233233,145.2308412,3,2,education,19.97047958
63,Arthur,Vasquez,Male,63.1639916,126.6090949,1,3,human services,16.78669068
64,Harold,Morris,Male,67.43631277,153.6333991,1,3,psychology,20.94671147
65,Gary,Morris,Male,72.98792438,154.5452241,4,0,education,19.81533493
66,Jose,Barnes,Male,66.52924285,153.9618812,3,1,mechanical engineering,16.40677989
67,Brian,Coleman,Male,73.06538863,176.788679,1,3,energy studies,19.18354138
68,Julie,Armstrong,Female,67.0539333,138.7692349,1,4,criminal justice administration,20.42068317
69,Lawrence,Berry,Male,67.17319045,137.0979072,1,2,culinart services,20.81643058
70,Mildred,Graham,Female,59.57561171,106.9038464,3,3,environmental science,18.27473401
71,Cheryl,Andrews,Female,72.29986516,168.0946445,2,3,biology,23.23299185
72,Rose,Gray,Female,69.42491692,148.1821597,4,2,epidemiology,22.42172488
73,Arthur,Chapman,Male,67.30597292,152.908253,3,2,criminal justice administration,16.31905111
74,Lillian,Wood,Female,67.91255542,140.2232329,4,5,botany,20.77666911
75,Nicole,Perry,Female,64.34378156,135.9040032,2,2,biology,14.54943637
76,Ralph,Lawrence,Male,76.18275104,156.8528115,3,3,biology,23.76756643
77,Angela,Wallace,Female,70.21351958,157.7759792,3,5,physical education,21.02117962
78,Janet,Ortiz,Female,67.4227973,155.7457795,0,2,pharmacology,15.12526804
79,Phillip,King,Male,70.35089748,158.2717533,4,2,epidemiology,21.09163753
80,Stephen,Chavez,Male,70.90769007,165.9423111,1,2,logistics,21.73020584
81,Samuel,Ellis,Male,64.12363526,136.0395908,1,1,environmental science,14.51158061
82,Joan,Parker,Female,67.25490582,138.288116,2,2,human services,21.80379893
83,Karen,Reyes,Female,64.197513,127.907188,4,4,human services,18.27359226
84,Frances,Cunningham,Female,70.28443776,149.563687,3,6,applied sciences,23.24531569
85,Anthony,Burton,Male,69.09528493,162.6678869,3,3,animal husbandry,15.59752879
86,Arthur,Reed,Male,67.54953521,142.3149749,4,2,animal husbandry,16.51841725
87,Martin,Russell,Male,74.37836673,171.0193987,6,4,energy studies,22.32465965
88,Phyllis,Wheeler,Female,58.74317896,109.6111174,2,3,communication,16.47282877
89,Melissa,Porter,Female,59.74389974,118.6161968,2,5,energy studies,18.34267776
90,Janice,Willis,Female,70.5580328,162.3950747,3,3,applied sciences,21.93253302
91,Justin,Murphy,Male,65.85296415,145.2313485,5,3,logistics,16.74417839
92,Alan,Ramos,Male,65.04940578,149.8803765,4,1,culinart services,15.18804399
93,Gary,Diaz,Male,72.38118263,172.6539768,9,4,business administration,22.40935656
94,Keith,Sullivan,Male,64.32386814,116.8042937,3,3,energy studies,17.08912584
95,Wayne,Collins,Male,66.9246922,138.4221904,4,4,physical education,18.0370664
96,Johnny,Cook,Male,69.0541746,155.8220504,1,3,communication,18.83809837
97,Ryan,Davis,Male,65.05316688,133.1287026,2,1,education,19.49132579
98,Angela,Hernandez,Female,64.79029906,139.499737,2,2,agricultural sciences,19.76864658
99,Teresa,Hill,Female,69.78051637,162.1736134,2,1,philosophy,25.83258309
100,Ralph,Cooper,Male,65.71918813,116.4764033,5,2,epidemiology,21.3004623
101,Gerald,Alvarez,Male,72.30678348,164.5498841,3,7,biology,21.90889312
102,Jesse,Kim,Male,71.8420744,141.4529648,3,3,philosophy,24.1509077
103,Louis,Burke,Male,72.42883015,149.3585844,0,2,mechanical engineering,19.63071613
104,Debra,Garrett,Female,69.14784158,143.7311166,3,5,applied sciences,23.16582317
105,Kevin,Fowler,Male,69.11815192,168.8091142,4,3,military strategy,18.42327338
106,Louise,Stevens,Female,68.2539177,151.1534622,4,6,pharmacology,19.94329566
107,Sara,Holmes,Female,63.71452536,134.634873,3,2,communication,17.04051092
108,Ann,Robinson,Female,66.34735065,140.1490796,1,0,medicine/nursing,20.57694782
109,Thomas,Fuller,Male,69.6329933,140.8562759,5,5,military strategy,24.14089455
110,Edward,Adams,Male,72.42975411,160.8356413,6,1,integrated water resources management,23.77862933
111,Wanda,Russell,Female,69.94287184,133.8279256,3,2,city planning,24.81297878
112,Jeffrey,Young,Male,68.13502441,154.7702248,5,1,criminal justice administration,15.47890872
113,Marilyn,Bryant,Female,62.73187134,125.8778121,3,3,city planning,18.84435452
114,Sean,Stanley,Male,72.66828869,176.6687053,2,3,agricultural sciences,19.19078194
115,Robin,Wood,Female,72.27315667,142.8087906,6,1,city planning,25.3566526
116,James,Garrett,Male,65.53651492,137.9661678,3,1,education,15.39994039
117,Kathleen,Harris,Female,65.7055806,141.9640469,2,3,psychology,18.62090463
118,Christina,Gilbert,Female,65.21957209,143.4852824,2,4,pharmacology,18.81568372
119,Judith,Ferguson,Female,55.62160113,104.4673124,2,1,business administration,11.13065499
120,Roger,Howell,Male,69.83051112,149.9790776,4,2,biology,21.72713917
121,Terry,Bennett,Male,72.6065212,154.8813872,1,4,business administration,23.07675725
122,Jason,Gonzales,Male,65.54597777,138.8316875,4,3,business administration,19.82104988
123,Terry,Matthews,Male,68.57151285,147.5055585,3,3,botany,18.72846966
124,Virginia,Barnes,Female,62.03725129,130.8056177,1,1,epidemiology,18.18119397
125,Sarah,Ruiz,Female,68.81266722,122.7265943,3,4,integrated water resources management,24.91811758
126,Eric,Young,Male,70.4437125,171.2002094,4,5,mechanical engineering,20.42064549
127,Judy,Fields,Female,62.82903022,127.730192,5,3,philosophy,19.73793138
128,Denise,Perry,Female,62.17699201,125.1329021,5,2,botany,16.89253352
129,Martin,Wagner,Male,70.26667851,154.6746364,2,3,military strategy,20.24322691
130,Sara,Flores,Female,71.30297521,165.4885011,3,1,logistics,20.64774217
131,Sandra,Myers,Female,70.09880729,157.7348765,2,2,energy studies,19.59913132
132,Martin,Myers,Male,68.65587786,146.4421868,6,6,integrated water resources management,21.65333308
133,Randy,Morris,Male,71.25304437,178.5851651,3,1,physical education,17.35895622
134,Jeremy,Williams,Male,55.69298453,114.1550031,5,3,human services,13.67604963
135,Patrick,Perez,Male,69.11030922,141.7290211,4,1,human services,22.21022642
136,Steven,Robinson,Male,67.62471465,146.4159538,1,6,environmental science,21.64967879
137,Jimmy,Scott,Male,67.35961331,138.668063,1,4,botany,21.92486612
138,Martin,Carpenter,Male,67.96383796,133.761666,3,2,medicine/nursing,20.58335633
139,Lori,Hart,Female,64.99637249,127.4881643,2,3,economics,19.7445402
140,Edward,Mccoy,Male,70.34750321,172.6224879,1,3,pharmacology,18.99892682
141,Ann,Dunn,Female,65.36311275,143.3414568,3,2,physical education,15.65898821
142,Pamela,Gardner,Female,68.38369811,137.4063898,4,4,environmental science,21.94233449
143,Helen,Schmidt,Female,66.16296988,146.678344,4,1,education,19.2205656
144,Joseph,Cunningham,Male,62.39202483,107.852801,7,2,physical education,19.48838832
145,Roy,Fernandez,Male,66.63451476,138.5398679,5,4,business administration,17.68275391
146,Ann,Dixon,Female,66.76502057,144.8788356,1,2,culinart services,21.72251707
147,Dorothy,Foster,Female,65.38845309,138.1399401,0,1,botany,19.50424247
148,Edward,Foster,Male,71.01244424,173.4268019,3,2,communication,16.91700876
149,Daniel,Welch,Male,66.16537762,133.4673583,3,8,psychology,19.08007145
150,Bonnie,Gonzalez,Female,68.03566497,142.3086326,2,5,biology,24.00246064
151,Robin,Gomez,Female,65.16023898,137.7871724,1,3,applied sciences,20.55057214
152,Anne,Hernandez,Female,62.61210429,122.9084327,0,2,education,20.65740299
153,Jane,Dean,Female,60.27460622,118.4318071,5,1,integrated water resources management,15.49664065
154,Heather,Romero,Female,65.01620489,141.2897425,3,1,applied sciences,19.37269965
155,Cynthia,Ford,Female,66.70297164,137.680677,3,2,city planning,21.3012409
156,John,Young,Male,72.69806508,140.6522098,1,2,applied sciences,24.56925025
157,Mary,Rodriguez,Female,65.40327253,136.3024309,2,3,energy studies,19.88921167
158,Phyllis,Spencer,Female,65.18108706,140.9447002,4,0,city planning,19.5510834
159,James,Mendoza,Male,68.33511492,155.5868134,4,2,applied sciences,17.36645901
160,Mildred,Lopez,Female,67.76443349,134.7487804,4,4,philosophy,22.49059554
161,Kathryn,Schmidt,Female,67.70104489,143.1754127,5,1,city planning,22.7615115
162,Roy,Dunn,Male,75.27080633,167.3627114,2,1,biology,23.28328426
163,Edward,Martin,Male,68.08834188,141.3925983,2,2,communication,19.57079302
164,Janet,Cook,Female,67.33379455,139.5274034,5,2,epidemiology,20.65623763
165,Jane,Graham,Female,69.06731864,140.7583202,5,2,economics,21.46047444
166,Angela,Ramirez,Female,65.42384279,125.7659048,3,2,integrated water resources management,20.87971831
167,Louis,Powell,Male,74.04072249,164.6257396,6,3,pharmacology,22.26990497
168,Douglas,Simpson,Male,73.49550622,166.461023,6,4,physical education,22.67475673
169,Rose,Mccoy,Female,70.31931419,143.8071303,2,4,psychology,27.40789781
170,Anna,Cruz,Female,68.29221359,143.9842649,4,5,agricultural sciences,22.1991796
171,Evelyn,Gutierrez,Female,66.40247458,121.816333,2,5,psychology,22.70490252
172,Theresa,Martin,Female,69.38269259,140.2724386,4,4,business administration,25.74573147
173,Christina,Robinson,Female,67.14350989,125.2682962,5,3,integrated water resources management,19.43071461
174,Mary,Fowler,Female,65.08253248,113.5357768,3,2,biology,19.0651352
175,Jason,Burns,Male,69.29226621,168.3479556,3,6,culinart services,17.948131
176,Amanda,Burton,Female,63.63476574,139.2027243,4,7,applied sciences,18.15221807
177,Juan,Barnes,Male,62.33876378,133.5535309,3,1,mechanical engineering,14.6117584
178,Cheryl,Clark,Female,64.18961629,143.4553839,2,2,mechanical engineering,17.943589
179,Maria,Castillo,Female,68.29124468,140.6935566,3,1,military strategy,19.18690659
180,Nancy,Fox,Female,69.26645598,154.9889309,4,4,military strategy,23.67716659
181,Stephen,Berry,Male,67.62982128,139.428561,2,3,epidemiology,18.61703936
182,Charles,Duncan,Male,62.32604487,116.2457601,4,5,pharmacology,19.90481581
183,Douglas,Miller,Male,68.11586278,154.0981138,1,4,communication,20.04527146
184,Henry,Parker,Male,67.80753169,151.6266873,2,5,pharmacology,22.37782288
185,Martin,Williamson,Male,69.688283,166.5898434,4,2,physical education,17.94201222
186,Ruth,Webb,Female,66.8229084,119.4315857,3,1,agricultural sciences,23.78603696
187,Ann,Reid,Female,71.02191957,141.7984101,2,1,human services,21.56207408
188,Donald,Hicks,Male,71.49299566,162.2125818,5,3,criminal justice administration,19.91412473
189,Heather,Hernandez,Female,70.3783185,130.5390709,4,0,physical education,27.16777212
190,Antonio,Carter,Male,72.09907537,181.7038541,1,4,pharmacology,16.96296694
191,Albert,Larson,Male,65.61279806,139.0259394,1,1,animal husbandry,19.07924471
192,Sean,Foster,Male,64.81684869,136.7623334,4,0,medicine/nursing,16.9588461
193,Nancy,Wallace,Female,66.59399787,138.2832161,5,2,biology,19.58830815
194,Anne,Reed,Female,59.70420459,111.4907545,3,3,epidemiology,18.40326365
195,Jonathan,Ramirez,Male,68.74929887,147.6103956,2,5,pharmacology,16.50639657
196,Carlos,Porter,Male,72.59502212,155.7041348,6,4,integrated water resources management,20.81649438
197,Gloria,Hayes,Female,65.65491127,141.3121968,4,3,medicine/nursing,20.29869896
198,Clarence,Gilbert,Male,69.16848895,154.5714284,2,4,communication,18.13150394
199,Andrew,Shaw,Male,73.21276874,160.2947703,0,1,economics,20.03504422
200,Eric,Lopez,Male,74.67165859,176.9067509,1,0,human services,23.83750797
201,Heather,Stone,Female,63.54680952,113.2698085,6,0,mechanical engineering,19.01969396
202,Janice,Davis,Female,67.89871538,154.9011702,3,2,animal husbandry,20.37957887
203,Kelly,Hernandez,Female,67.77072136,151.721874,2,2,medicine/nursing,21.22370116
204,Angela,Miller,Female,65.00593247,129.4997147,5,3,human services,21.94579901
205,Christopher,Hamilton,Male,72.67681434,161.1856376,2,2,city planning,20.02906396
206,Pamela,Reynolds,Female,63.4978502,128.3758697,4,2,philosophy,17.64130578
207,Phyllis,King,Female,64.65742,129.5755853,6,3,agricultural sciences,19.03574684
208,Ralph,Anderson,Male,66.70975773,151.7114012,4,4,city planning,17.6400617
209,Kevin,Elliott,Male,75.45580417,175.5041846,4,3,integrated water resources management,23.86442977
210,Stephanie,Watson,Female,66.7106501,130.716347,2,1,communication,20.79042344
211,Frank,Reid,Male,67.19629081,125.5647727,1,3,philosophy,18.40984162
212,Daniel,Cook,Male,72.04628014,157.0876436,4,3,epidemiology,21.30336642
213,Tammy,Armstrong,Female,63.66583567,127.3201754,4,0,business administration,20.57065024
214,Charles,Gonzalez,Male,68.57274826,136.1408254,7,4,pharmacology,20.20310218
215,Diana,Ortiz,Female,66.95127404,151.760665,5,4,pharmacology,17.17253087
216,Debra,Simpson,Female,68.83636511,156.9905485,2,3,communication,21.44258903
217,Fred,Butler,Male,69.85854721,149.5379781,0,7,communication,18.18099901
218,Terry,Porter,Male,70.655692,140.0505459,2,2,mechanical engineering,27.14205176
219,Kathy,Dunn,Female,64.45047635,126.8075912,2,4,criminal justice administration,17.55098791
220,Earl,Franklin,Male,71.30168308,141.5697916,4,3,integrated water resources management,21.48752611
221,Frances,Lawson,Female,66.85416529,138.1663385,5,5,economics,20.26559868
222,Roger,Powell,Male,67.80249978,142.8491131,2,1,logistics,16.74822709
223,Russell,Jenkins,Male,67.07338689,128.0136808,3,4,physical education,22.22478711
224,Tammy,Gomez,Female,61.3504383,120.3425512,2,3,agricultural sciences,18.31888176
225,Walter,Lee,Male,66.52196705,150.727294,3,4,military strategy,19.50908875
226,Emily,Rivera,Female,67.60750363,141.5999807,3,6,city planning,16.52151237
227,Maria,Wallace,Female,62.94210591,132.0677214,0,6,environmental science,19.70531799
228,Judith,Gonzalez,Female,64.508719,124.1079808,1,1,criminal justice administration,23.53162161
229,Kevin,Hansen,Male,66.23401951,150.8974166,0,3,human services,19.19266786
230,Shawn,Baker,Male,71.47645619,153.1069754,3,4,physical education,22.35030111
231,Kathleen,Wright,Female,63.35429693,118.5460335,2,5,business administration,21.93742868
232,Teresa,Anderson,Female,67.56185124,146.0371329,2,4,energy studies,21.13507604
233,Harry,Cruz,Male,69.95511924,148.9489039,4,1,city planning,20.57423402
234,Louise,Stevens,Female,69.19428501,149.2428911,6,2,logistics,22.91232962
235,Betty,Howard,Female,63.54701489,145.4172408,4,4,economics,16.53938627
236,Joshua,Andrews,Male,71.40201953,149.1761276,4,1,education,21.04541242
237,Bruce,Reid,Male,77.36757768,191.0817282,1,3,business administration,24.56507466
238,Dennis,Meyer,Male,75.85360509,188.9251244,3,4,environmental science,24.17554965
239,Michelle,Harrison,Female,66.54655169,121.8911704,3,2,physical education,22.39315854
240,Lisa,Russell,Female,67.29899145,145.7219279,5,3,culinart services,17.96662864
241,Brenda,Black,Female,65.73552165,131.2713119,2,3,criminal justice administration,23.26286372
242,Brian,Olson,Male,62.54043774,148.9505961,2,1,logistics,13.49798361
243,Catherine,Griffin,Female,69.54820257,136.0011186,3,1,pharmacology,26.57689113
244,Marilyn,Rodriguez,Female,67.03908714,152.5513472,3,2,biology,19.59841371
245,Carol,Ryan,Female,69.02791718,142.751932,3,2,epidemiology,23.00980811
246,Todd,Willis,Male,72.84719875,177.6908039,4,0,environmental science,20.00607144
247,Fred,Knight,Male,62.07196097,137.0139973,3,3,applied sciences,14.97050851
248,Harold,Murphy,Male,68.82742475,174.8339739,1,2,physical education,20.27555718
249,Kathleen,Green,Female,65.99564926,139.8536381,3,4,communication,19.65585031
250,Marilyn,Patterson,Female,65.21676753,128.0653715,3,5,architecture,20.23089956
251,Julie,Fields,Female,61.59702523,120.5263127,2,4,medicine/nursing,19.59815366
252,Janet,Armstrong,Female,66.4466218,128.2348153,7,4,biology,22.09547283
253,Heather,Hart,Female,65.08852872,128.8315958,1,3,military strategy,20.00628232
254,Benjamin,Rogers,Male,72.42675832,169.0869096,0,6,environmental science,19.04590095
255,Judith,Woods,Female,64.87547866,116.4599805,2,4,criminal justice administration,23.94808635
256,Phyllis,Stone,Female,67.15591992,129.4720437,5,3,criminal justice administration,22.51602463
257,Aaron,Medina,Male,68.89151506,154.1242249,4,1,architecture,20.67606273
258,Johnny,Moore,Male,73.87656048,142.5710308,3,2,education,24.19645826
259,Barbara,Morris,Female,62.03273194,135.3092459,7,4,logistics,17.67434378
260,Barbara,Hunt,Female,64.71368123,130.9812335,1,3,mechanical engineering,22.95046635
261,Tammy,Hart,Female,57.63606281,115.974506,4,1,education,12.29306481
262,Arthur,Wright,Male,65.94479221,127.1980334,1,2,logistics,18.89775025
263,Billy,Fields,Male,68.63621097,158.8520183,0,2,city planning,19.1713626
264,Craig,Stephens,Male,70.27466464,137.8758678,3,3,animal husbandry,21.62270241
265,Bruce,Lewis,Male,78.03101627,172.4351577,5,4,animal husbandry,23.93911143
266,Denise,Robinson,Female,64.15654455,139.7627439,3,0,economics,19.38946889
267,Lawrence,Rogers,Male,71.8855795,150.3065971,3,3,biology,21.43525332
268,Michael,Cook,Male,61.62814402,119.0914931,3,3,integrated water resources management,16.02055886
269,Donald,Smith,Male,61.77284589,133.8740314,8,2,logistics,17.90380039
270,Christopher,Lee,Male,67.64806288,130.5163299,2,2,botany,25.58631452
271,Jeremy,Meyer,Male,69.05868853,143.3258763,3,3,business administration,19.68915179
272,Denise,Ferguson,Female,65.3272521,132.5377475,2,3,biology,24.03705941
273,Ann,Carter,Female,62.65718847,148.3196171,2,3,education,18.50000188
274,Ryan,Ferguson,Male,77.95398809,162.8790915,3,2,business administration,25.77719907
275,Marie,Coleman,Female,66.65832719,136.0071857,3,5,integrated water resources management,23.09950671
276,Linda,King,Female,64.97680726,122.3061677,3,4,military strategy,20.30056402
277,Carlos,Alexander,Male,75.21887048,176.9456921,3,2,psychology,22.35990445
278,Christopher,Garza,Male,74.59113488,183.0497155,7,4,botany,20.23902888
279,Tammy,Gonzales,Female,62.34640211,117.5785988,6,1,psychology,17.71509575
280,Antonio,Vasquez,Male,70.79582344,143.3082505,2,7,mechanical engineering,22.4292007
281,Philip,Carpenter,Male,72.58839476,147.145153,4,3,business administration,22.37797664
282,Joe,Burton,Male,68.59138948,148.5910478,3,3,culinart services,18.8633214
283,Gerald,Kelley,Male,73.60767973,171.5406334,1,0,epidemiology,23.19954986
284,Frances,Cook,Female,58.13215517,110.8869223,3,4,botany,16.98641402
285,Amanda,Mills,Female,58.88538609,113.6763984,1,5,medicine/nursing,16.40109613
286,Virginia,Dean,Female,68.72873584,167.5377535,6,7,biology,18.91887657
287,Deborah,Lawrence,Female,65.25383084,134.1283176,2,3,animal husbandry,17.46600265
288,Juan,Murray,Male,73.70542341,163.59185,6,4,medicine/nursing,20.28010127
289,Bruce,Miller,Male,68.0057861,133.0025149,4,3,philosophy,21.71986811
290,Mark,Wilson,Male,69.87480487,156.2692358,0,3,physical education,17.92772942
291,Jane,Reed,Female,65.23508316,134.2857753,1,2,animal husbandry,19.6010544
292,Michael,Wagner,Male,71.96558567,159.3355837,3,1,psychology,17.99647
293,Irene,Lewis,Female,63.773645,120.2286502,2,3,economics,20.49433797
294,Laura,Ross,Female,63.1805322,127.1017206,1,5,environmental science,24.37250478
295,Adam,Perez,Male,66.35689462,143.0993712,3,1,military strategy,15.89284528
296,Bruce,Hughes,Male,67.95232261,146.4438819,6,3,culinart services,16.75515825
297,George,Hunt,Male,62.89158253,134.3390457,2,2,city planning,14.64069828
298,Howard,Martin,Male,68.85220875,150.7262127,6,4,city planning,19.2658691
299,Kelly,Burke,Female,69.91123828,145.7389026,5,2,biology,22.08627747
300,Helen,Cook,Female,71.68438297,157.690282,4,5,philosophy,26.25880602
301,Clarence,Edwards,Male,68.39092767,167.3073146,3,4,physical education,16.51630892
302,Cheryl,Roberts,Female,67.7815271,128.1837741,0,4,physical education,25.39256289
303,Patricia,Kim,Female,68.69575763,140.6663503,1,1,pharmacology,22.69690476
304,Robert,Parker,Male,73.60436092,161.147359,3,3,economics,23.85201655
305,Gary,Sanchez,Male,72.15195093,142.8638772,1,4,logistics,18.88306784
306,Gloria,Morgan,Female,68.09021943,142.8511614,1,1,biology,22.43698631
307,Judy,Peters,Female,63.76315439,127.8650159,4,1,medicine/nursing,18.94309681
308,Steve,Young,Male,71.24438249,165.0062184,2,0,epidemiology,20.16241758
309,Tammy,Porter,Female,64.87039029,123.639963,2,4,human services,19.91682429
310,Steve,Hill,Male,70.95550279,155.3724882,4,4,criminal justice administration,19.88285871
311,George,Diaz,Male,74.90819362,166.7105568,2,3,animal husbandry,20.84978467
312,Paula,Hall,Female,60.34226805,114.5168445,2,3,animal husbandry,17.17612696
313,Bobby,Rice,Male,63.80163744,126.5541594,5,0,physical education,17.32117119
314,Deborah,Mcdonald,Female,68.98872465,144.0345299,2,1,botany,19.82662134
315,Tammy,Martin,Female,65.69532298,123.4173944,5,4,economics,20.38294068
316,Maria,Flores,Female,67.17217433,143.8320799,3,2,pharmacology,21.95708507
317,Jacqueline,Hicks,Female,63.00015727,131.8478427,3,5,applied sciences,16.87171521
318,Gloria,Fowler,Female,62.13360179,119.5684278,2,5,energy studies,17.1072189
319,Amy,Matthews,Female,64.46120736,129.8580222,0,2,philosophy,17.50802161
320,Maria,Warren,Female,69.47476993,156.718381,2,5,culinart services,22.57393129
321,Joan,Andrews,Female,55.66449039,104.3202525,3,2,architecture,10.66380986
322,Ashley,Woods,Female,63.7488626,131.535967,3,6,human services,18.75646622
323,Raymond,Price,Male,71.48824046,153.9499065,1,3,pharmacology,19.67347475
324,Craig,Stewart,Male,67.42625485,161.517254,4,3,psychology,17.94266125
325,Catherine,Diaz,Female,70.25888661,146.41676,2,2,economics,25.23058384
326,Mary,Bell,Female,73.62638107,162.0132709,3,3,architecture,25.36747594
327,Jeremy,Fields,Male,71.9967916,172.6310829,3,3,psychology,21.0413126
328,Robin,Little,Female,72.05440904,146.8350861,4,6,applied sciences,26.52334474
329,Teresa,Schmidt,Female,67.08054084,135.560047,1,1,applied sciences,24.13606066
330,Lawrence,Medina,Male,67.21993848,162.9205208,6,3,economics,16.32740221
331,Gerald,Myers,Male,72.06090198,153.282373,4,1,architecture,23.5174015
332,Mark,Franklin,Male,73.47045709,158.793428,2,1,mechanical engineering,21.68921512
333,Roy,Cole,Male,67.47215075,126.4773253,6,2,pharmacology,20.61760159
334,Eugene,Burke,Male,69.61222518,160.0592949,2,3,education,18.82746898
335,Judy,Hill,Female,68.1653971,152.7235904,1,2,philosophy,20.03841797
336,Adam,Moore,Male,74.87625206,173.0345689,2,1,integrated water resources management,23.68478369
337,Lawrence,Wilson,Male,68.61861794,139.1208584,3,6,city planning,25.79393906
338,Kathleen,Carter,Female,67.32687588,134.0057215,5,3,agricultural sciences,23.35167581
339,Scott,Cooper,Male,71.01284395,140.2184909,4,7,medicine/nursing,25.09822334
340,Doris,Perez,Female,62.45370005,134.8858588,9,1,military strategy,16.58294767
